Lon,Lat,YearDay,Time,Satellite,Method,Ecosystem,FRP
-87.615000,36.232000,2014001,"0315",GOES-EAST,ANALYSIS,26,-999.000
-80.621000,26.442000,2014001,"1445",GOES-EAST,ANALYSIS,31,-999.000
-80.856000,26.490000,2014001,"1445",GOES-EAST,ANALYSIS,31,-999.000
-81.079000,26.574000,2014001,"1445",GOES-EAST,ANALYSIS,56,-999.000
-80.498000,26.693000,2014001,"1445",GOES-EAST,ANALYSIS,31,-999.000
-81.042000,26.711000,2014001,"1445",GOES-EAST,ANALYSIS,27,-999.000
-81.114000,27.008000,2014001,"1445",GOES-EAST,ANALYSIS,27,-999.000
-80.869000,26.701000,2014001,"1515",GOES-EAST,ANALYSIS,31,-999.000
-80.581000,26.737000,2014001,"1515",GOES-EAST,ANALYSIS,94,-999.000
-80.820000,26.470000,2014001,"1515",GOES-EAST,IMAGER,31,-999.000
-80.914000,26.606000,2014001,"1545",GOES-EAST,ANALYSIS,27,-999.000
-80.820000,26.470000,2014001,"1545",GOES-EAST,IMAGER,31,-999.000
-80.586000,26.600000,2014001,"1615",GOES-EAST,ANALYSIS,27,-999.000
-80.484000,26.640000,2014001,"1615",GOES-EAST,ANALYSIS,27,-999.000
-80.586000,26.600000,2014001,"1615",GOES-EAST,IMAGER,27,-999.000
-80.557000,26.651000,2014001,"1715",GOES-EAST,ANALYSIS,31,-999.000
-80.540000,26.547000,2014001,"1732",GOES-EAST,IMAGER,31,-999.000
-80.574000,26.666000,2014002,"1415",GOES-EAST,ANALYSIS,94,-999.000
-80.997000,26.590000,2014002,"1445",GOES-EAST,ANALYSIS,31,-999.000
-80.614000,26.430000,2014002,"1445",GOES-EAST,IMAGER,94,-999.000
-80.740000,26.447000,2014002,"1515",GOES-EAST,ANALYSIS,31,-999.000
-80.526000,26.523000,2014002,"1515",GOES-EAST,ANALYSIS,31,-999.000
-80.960000,26.540000,2014002,"1515",GOES-EAST,ANALYSIS,31,-999.000
-80.898000,26.621000,2014002,"1515",GOES-EAST,ANALYSIS,22,-999.000
-80.876000,26.683000,2014002,"1545",GOES-EAST,ANALYSIS,94,-999.000
-81.103000,26.976000,2014002,"1615",GOES-EAST,ANALYSIS,94,-999.000
