Lon,Lat,YearDay,Time,Satellite,Method,Ecosystem,FRP
-103.193810,21.639471,2025091,"0631",GOES-EAST,FDC,22,138.898
-103.193810,21.639471,2025091,"0636",GOES-EAST,FDC,22,154.026
-103.255010,21.600012,2025091,"0930",GOES-EAST,FDC,32,27.931
-103.284590,21.621674,2025091,"1620",GOES-EAST,FDC,47,-999.000
-103.279130,21.600817,2025091,"1620",GOES-EAST,FDC,32,94.482
-103.260460,21.620872,2025091,"1620",GOES-EAST,FDC,32,-999.000
-103.255013,21.600012,2025091,"1620",GOES-EAST,FDC,32,79.429
-103.284592,21.621677,2025091,"1621",GOES-EAST,FDC,47,-999.000
-103.279137,21.600822,2025091,"1621",GOES-EAST,FDC,32,92.976
-103.260468,21.620874,2025091,"1621",GOES-EAST,FDC,32,-999.000
-103.255020,21.600019,2025091,"1621",GOES-EAST,FDC,32,80.125
-103.236550,21.620193,2025091,"1630",GOES-EAST,FDC,22,-999.000
-103.284592,21.621674,2025091,"1630",GOES-EAST,FDC,47,152.159
-103.279129,21.600817,2025091,"1630",GOES-EAST,FDC,32,292.692
-103.260460,21.620872,2025091,"1630",GOES-EAST,FDC,32,-999.000
-103.255013,21.600012,2025091,"1630",GOES-EAST,FDC,32,326.506
-103.284592,21.621677,2025091,"1631",GOES-EAST,FDC,47,-999.000
-103.279137,21.600822,2025091,"1631",GOES-EAST,FDC,32,-999.000
-103.260468,21.620874,2025091,"1631",GOES-EAST,FDC,32,-999.000
-103.255020,21.600019,2025091,"1631",GOES-EAST,FDC,32,147.775
-103.236549,21.620197,2025091,"1631",GOES-EAST,FDC,22,-999.000
-103.212425,21.619389,2025091,"1631",GOES-EAST,FDC,22,-999.000
-103.284592,21.621677,2025091,"1636",GOES-EAST,FDC,47,-999.000
-103.279137,21.600822,2025091,"1636",GOES-EAST,FDC,32,-999.000
-103.260468,21.620874,2025091,"1636",GOES-EAST,FDC,32,-999.000
-103.255020,21.600019,2025091,"1636",GOES-EAST,FDC,32,169.768
-103.284592,21.621674,2025091,"1640",GOES-EAST,FDC,47,-999.000
-103.260460,21.620872,2025091,"1640",GOES-EAST,FDC,32,-999.000
-103.255013,21.600012,2025091,"1640",GOES-EAST,FDC,32,68.866
-103.236549,21.620193,2025091,"1640",GOES-EAST,FDC,22,-999.000
-103.279137,21.600822,2025091,"1641",GOES-EAST,FDC,32,-999.000
-103.255020,21.600019,2025091,"1641",GOES-EAST,FDC,32,106.974
-103.236549,21.620197,2025091,"1641",GOES-EAST,FDC,22,-999.000
-103.212425,21.619389,2025091,"1641",GOES-EAST,FDC,22,-999.000
-103.255020,21.600019,2025091,"1646",GOES-EAST,FDC,32,68.707
-103.236549,21.620197,2025091,"1646",GOES-EAST,FDC,22,-999.000
-103.212420,21.619383,2025091,"1650",GOES-EAST,FDC,22,-999.000
-103.284592,21.621674,2025091,"1650",GOES-EAST,FDC,47,-999.000
-103.279129,21.600817,2025091,"1650",GOES-EAST,FDC,32,125.802
-103.260460,21.620872,2025091,"1650",GOES-EAST,FDC,32,-999.000
-103.255013,21.600012,2025091,"1650",GOES-EAST,FDC,32,155.094
-103.236549,21.620193,2025091,"1650",GOES-EAST,FDC,22,-999.000
-103.284592,21.621677,2025091,"1651",GOES-EAST,FDC,47,-999.000
-103.279137,21.600822,2025091,"1651",GOES-EAST,FDC,32,87.983
-103.260468,21.620874,2025091,"1651",GOES-EAST,FDC,32,-999.000
-103.255020,21.600019,2025091,"1651",GOES-EAST,FDC,32,116.159
-103.212425,21.619389,2025091,"1651",GOES-EAST,FDC,22,-999.000
-103.284592,21.621677,2025091,"1656",GOES-EAST,FDC,47,193.774
-103.279137,21.600822,2025091,"1656",GOES-EAST,FDC,32,135.282
-103.260468,21.620874,2025091,"1656",GOES-EAST,FDC,32,-999.000
-103.255020,21.600019,2025091,"1656",GOES-EAST,FDC,32,225.093
-103.236549,21.620197,2025091,"1656",GOES-EAST,FDC,22,-999.000
-103.284592,21.621674,2025091,"1700",GOES-EAST,FDC,47,-999.000
-103.260460,21.620872,2025091,"1700",GOES-EAST,FDC,32,139.426
-103.255013,21.600012,2025091,"1700",GOES-EAST,FDC,32,122.171
-103.284592,21.621677,2025091,"1701",GOES-EAST,FDC,47,-999.000
-103.279137,21.600822,2025091,"1701",GOES-EAST,FDC,32,81.163
-103.260468,21.620874,2025091,"1701",GOES-EAST,FDC,32,103.654
-103.255020,21.600019,2025091,"1701",GOES-EAST,FDC,32,130.962
-103.260468,21.620874,2025091,"1706",GOES-EAST,FDC,32,-999.000
-103.255020,21.600019,2025091,"1706",GOES-EAST,FDC,32,92.345
-103.284592,21.621674,2025091,"1710",GOES-EAST,FDC,47,114.971
-103.260460,21.620872,2025091,"1710",GOES-EAST,FDC,32,-999.000
-103.255013,21.600012,2025091,"1710",GOES-EAST,FDC,32,88.384
-103.284592,21.621677,2025091,"1711",GOES-EAST,FDC,47,97.068
-103.279137,21.600822,2025091,"1711",GOES-EAST,FDC,32,118.540
-103.260468,21.620874,2025091,"1711",GOES-EAST,FDC,32,-999.000
-103.255020,21.600019,2025091,"1711",GOES-EAST,FDC,32,135.136
-103.284592,21.621677,2025091,"1716",GOES-EAST,FDC,47,-999.000
